Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,
PIH,"1347 Property Insurance Holdings, Inc.",7.2499,$43.39M,2014,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/pih,
TURN,180 Degree Capital Corp.,2.03,$63.18M,n/a,Finance,Finance/Investors Services,http://www.nasdaq.com/symbol/turn,
FLWS,"1-800 FLOWERS.COM, Inc.",10.8,$697.94M,1999,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/flws,
FCCY,1st Constitution Bancorp (NJ),18.2,$146.93M,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/fccy,
SRCE,1st Source Corporation,49.9,$1.29B,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/srce,
VNET,"21Vianet Group, Inc.",7.94,$886.5M,2011,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/vnet,
TWOU,"2U, Inc.",63.72,$3.33B,2014,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/twou,
JOBS,"51job, Inc.",61.8,$3.82B,2004,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/jobs,
CAFD,8point3 Energy Partners LP,15.15,$1.2B,2015,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/cafd,
EGHT,8x8 Inc,14.25,$1.31B,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/eght,
AVHI,"A V Homes, Inc.",16.75,$376.13M,n/a,Capital Goods,Homebuilding,http://www.nasdaq.com/symbol/avhi,
SHLM,"A. Schulman, Inc.",37.15,$1.1B,1972,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/shlm,
AAON,"AAON, Inc.",36.5,$1.92B,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aaon,
ABAX,"ABAXIS, Inc.",49.02,$1.11B,1992,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/abax,
ABEO,Abeona Therapeutics Inc.,16.1,$753.08M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abeo,
ABEOW,Abeona Therapeutics Inc.,10.265,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abeow,
ABIL,Ability Inc.,0.4496,$11.58M,2014,Finance,Business Services,http://www.nasdaq.com/symbol/abil,
ABMD,"ABIOMED, Inc.",190.42,$8.42B,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/abmd,
ABLX,Ablynx NV,24.08,$1.8B,2017,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/ablx,
AXAS,Abraxas Petroleum Corporation,2.36,$391.5M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/axas,
ACIU,AC Immune SA,12.72,$724.05M,2016,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aciu,
ACIA,"Acacia Communications, Inc.",37.59,$1.48B,2016,Technology,Semiconductors,http://www.nasdaq.com/symbol/acia,
